epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2811.49,2.38418,1.30599,0.8698,0.63165,0.46424,0.51444,0.20801,2.24097,1.16552,0.85439,0.0008912,0.0008912,0.0008912
58,2859.03,2.39307,1.31409,0.86825,0.64105,0.45951,0.51129,0.20582,2.24985,1.16703,0.85438,0.0008714,0.0008714,0.0008714
59,2905.88,2.38078,1.30786,0.86963,0.63966,0.46782,0.51742,0.20873,2.24631,1.16121,0.8551,0.0008516,0.0008516,0.0008516
60,2953.45,2.38052,1.30456,0.86926,0.63696,0.46432,0.51589,0.20866,2.24115,1.16158,0.85562,0.0008318,0.0008318,0.0008318
61,3001.03,2.38479,1.31639,0.87155,0.64529,0.458,0.51337,0.20764,2.23797,1.16506,0.85468,0.000812,0.000812,0.000812
62,3047.73,2.36814,1.29307,0.86512,0.64866,0.46561,0.51677,0.20761,2.24328,1.1606,0.8545,0.0007922,0.0007922,0.0007922
63,3094.83,2.36888,1.29594,0.86761,0.65586,0.46005,0.51931,0.20971,2.23513,1.16006,0.85222,0.0007724,0.0007724,0.0007724
64,3142.33,2.35932,1.28714,0.86444,0.65664,0.45785,0.52034,0.20925,2.24105,1.15865,0.85272,0.0007526,0.0007526,0.0007526
65,3193.12,2.35365,1.29431,0.86908,0.65805,0.45724,0.51697,0.20979,2.23011,1.1517,0.85229,0.0007328,0.0007328,0.0007328
66,3240.8,2.36706,1.29184,0.8636,0.6444,0.4663,0.51989,0.21087,2.23092,1.15047,0.85454,0.000713,0.000713,0.000713
67,3288.27,2.36376,1.299,0.86659,0.65534,0.46379,0.52172,0.2106,2.22664,1.15338,0.8518,0.0006932,0.0006932,0.0006932
68,3335.79,2.35584,1.28148,0.87143,0.64983,0.46436,0.51872,0.21066,2.22798,1.15191,0.85102,0.0006734,0.0006734,0.0006734
69,3383.06,2.3575,1.28544,0.86288,0.649,0.46141,0.51971,0.21039,2.22869,1.15418,0.85063,0.0006536,0.0006536,0.0006536
70,3430.18,2.33367,1.27531,0.86729,0.64513,0.47002,0.52291,0.21195,2.22919,1.15371,0.85192,0.0006338,0.0006338,0.0006338
71,3477.56,2.36424,1.28552,0.86472,0.64838,0.46401,0.52055,0.21085,2.22809,1.15389,0.85029,0.000614,0.000614,0.000614
72,3524.57,2.34739,1.28123,0.86372,0.65334,0.46219,0.5215,0.21281,2.22144,1.14631,0.85097,0.0005942,0.0005942,0.0005942
73,3571.76,2.34932,1.28212,0.86107,0.6561,0.46012,0.52206,0.21293,2.22349,1.14545,0.85152,0.0005744,0.0005744,0.0005744
74,3619.32,2.36203,1.28447,0.86083,0.66071,0.46082,0.52276,0.21411,2.22068,1.14158,0.85133,0.0005546,0.0005546,0.0005546
75,3666.69,2.33037,1.26899,0.86481,0.66322,0.45861,0.52324,0.21326,2.2239,1.14525,0.85189,0.0005348,0.0005348,0.0005348
76,3714.63,2.34222,1.27702,0.86061,0.65711,0.46211,0.5247,0.21442,2.2213,1.1423,0.85107,0.000515,0.000515,0.000515
77,3762.04,2.32598,1.26594,0.86395,0.65701,0.46459,0.52418,0.21329,2.22336,1.14359,0.85142,0.0004952,0.0004952,0.0004952
